,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
431,Total,1,3,0,1,2,1,1,9,775,RF,7,1990
432,3,5,3,0,0,0,0,0,8,7741,RF,9,2006
433,4,5,31,5,3,1,0,0,45,7741,RF,9,2006
434,12,0,3,0,0,0,0,0,3,7741,RF,9,2006
435,15,1,10,2,11,0,0,0,24,7741,RF,9,2006
436,18,0,0,0,0,0,0,0,0,7741,RF,9,2006
437,22,0,0,1,0,0,0,0,1,7741,RF,9,2006
438,33,0,0,0,0,0,0,0,0,7741,RF,9,2006
439,Total,11,47,8,14,1,0,0,81,7741,RF,9,2006
440,3,0,0,0,0,0,0,0,0,759,RF,7,2011
441,4,0,0,0,0,0,0,0,0,759,RF,7,2011
442,12,0,0,0,0,0,0,0,0,759,RF,7,2011
443,15,0,4,0,3,0,4,0,11,759,RF,7,2011
444,18,0,0,0,0,0,0,0,0,759,RF,7,2011
445,22,0,0,0,0,0,0,0,0,759,RF,7,2011
446,33,0,1,0,0,0,0,0,1,759,RF,7,2011
447,Total,0,5,0,3,0,4,0,12,759,RF,7,2011
448,3,0,0,0,0,0,0,0,0,756,RF,7,1992
